time,fraction,energy
8.400000000000000799e-01,1.002811495612066992e-02,3.528962161203951453e+00
8.500000000000000888e-01,1.002856757445540203e-02,3.528926208401687248e+00
8.600000000000000977e-01,1.002902462509721454e-02,3.528890471839450260e+00
8.700000000000001066e-01,1.002948602460747296e-02,3.528854940981299482e+00
8.800000000000001155e-01,1.002995169120621255e-02,3.528819605751943644e+00
8.900000000000001243e-01,1.003042154473916293e-02,3.528784456515719814e+00
9.000000000000000222e-01,1.003089550664547532e-02,3.528749484056599606e+00
9.100000000000000311e-01,1.003137349992608111e-02,3.528714679559160405e+00
9.200000000000000400e-01,1.003185544911265430e-02,3.528680034590467418e+00
9.300000000000000488e-01,1.003234128023725545e-02,3.528645541082839898e+00
9.400000000000000577e-01,1.003283092080251016e-02,3.528611191317421181e+00
9.500000000000000666e-01,1.003332429975244480e-02,3.528576977908555179e+00
9.600000000000000755e-01,1.003382134744385326e-02,3.528542893788886303e+00
9.700000000000000844e-01,1.003432199561827762e-02,3.528508932195172143e+00
9.800000000000000933e-01,1.003482617737451107e-02,3.528475086654768944e+00
9.900000000000001021e-01,1.003533382714168545e-02,3.528441350972737922e+00
1.000000000000000000e+00,1.003584488065285309e-02,3.528407719219577743e+00

